epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5854.8,1.51789,1.74879,1.59702,0.76246,0.73827,0.80154,0.4184,1.57777,1.35152,1.78726,0.000665362,0.000665362,0.000665362
2,4900.27,1.56844,1.32839,1.64423,0.82841,0.79661,0.84178,0.45704,1.52768,1.07092,1.76047,0.00130565,0.00130565,0.00130565
3,9382.15,1.55309,1.21274,1.61936,0.7724,0.81,0.8457,0.47592,1.56227,1.05086,1.75802,0.00191955,0.00191955,0.00191955
4,15749.3,1.50877,1.13876,1.5956,0.78528,0.88,0.88727,0.52246,1.36216,0.88119,1.63378,0.0018812,0.0018812,0.0018812
5,21008.1,1.46756,1.08051,1.55632,0.8528,0.89798,0.91985,0.53391,1.37165,0.83485,1.55309,0.0018416,0.0018416,0.0018416
6,26358.9,1.43397,1.03269,1.53398,0.8487,0.875,0.91405,0.56244,1.28342,0.77201,1.53713,0.001802,0.001802,0.001802
7,31096.3,1.40467,0.99404,1.50606,0.86456,0.92,0.93877,0.59158,1.26346,0.71965,1.50307,0.0017624,0.0017624,0.0017624
8,35782.4,1.37869,0.96593,1.49693,0.88052,0.9,0.91246,0.58236,1.28556,0.68708,1.50697,0.0017228,0.0017228,0.0017228
9,40395,1.36273,0.93556,1.48723,0.88556,0.8899,0.9301,0.58303,1.2978,0.69855,1.5478,0.0016832,0.0016832,0.0016832
10,44916.9,1.34292,0.92252,1.47092,0.91006,0.91067,0.94476,0.61845,1.22432,0.6499,1.48102,0.0016436,0.0016436,0.0016436
11,49410.1,1.31456,0.89862,1.44795,0.91335,0.935,0.94948,0.63283,1.20761,0.62147,1.46377,0.001604,0.001604,0.001604
12,54016.7,1.30509,0.86743,1.43552,0.88641,0.895,0.93362,0.60889,1.17696,0.64102,1.44398,0.0015644,0.0015644,0.0015644
13,58798.1,1.28758,0.86503,1.42947,0.91575,0.9,0.95671,0.62663,1.25378,0.59654,1.48569,0.0015248,0.0015248,0.0015248
14,63738.3,1.27597,0.83979,1.42039,0.89374,0.925,0.94639,0.61316,1.19031,0.64073,1.4595,0.0014852,0.0014852,0.0014852
15,68624.3,1.26279,0.83627,1.41758,0.86788,0.89,0.92291,0.58852,1.2472,0.66135,1.51284,0.0014456,0.0014456,0.0014456
16,74585.3,1.2608,0.8244,1.4089,0.92204,0.91,0.95206,0.63467,1.14423,0.57622,1.4163,0.001406,0.001406,0.001406
17,79437.1,1.23743,0.81514,1.39861,0.93974,0.925,0.95106,0.65441,1.10739,0.56363,1.36384,0.0013664,0.0013664,0.0013664
18,87903.3,1.23908,0.80477,1.39269,0.9291,0.93,0.96296,0.66087,1.11421,0.56239,1.36641,0.0013268,0.0013268,0.0013268
19,5820.43,1.22079,0.78074,1.3764,0.9186,0.95923,0.96392,0.6688,1.06107,0.52167,1.33172,0.0012872,0.0012872,0.0012872
20,10048.6,1.20833,0.76835,1.36964,0.93614,0.935,0.96106,0.68695,1.06227,0.52733,1.31588,0.0012476,0.0012476,0.0012476
21,14984.8,1.19961,0.76384,1.36494,0.93654,0.925,0.96545,0.6847,1.06036,0.51903,1.33156,0.001208,0.001208,0.001208
22,19537,1.19116,0.75831,1.36013,0.92469,0.925,0.95599,0.69002,1.02823,0.50904,1.31026,0.0011684,0.0011684,0.0011684
23,24614.8,1.17967,0.7479,1.35107,0.93968,0.915,0.95573,0.66705,1.09187,0.55056,1.3686,0.0011288,0.0011288,0.0011288
24,29969.1,1.17634,0.74268,1.34899,0.94329,0.945,0.97081,0.70496,1.00776,0.47244,1.29985,0.0010892,0.0010892,0.0010892
25,35105.7,1.16312,0.74691,1.34245,0.93987,0.93778,0.966,0.68838,1.03083,0.49645,1.31162,0.0010496,0.0010496,0.0010496
